State,Name of District (Traffic unit),Name of Jurisdictional Police Station,NH/SH/MDR/OR No.,Name of Location Place,Limits of High Accident Prone Location - Starting from (km),Limits of High Accident Prone Location - Ending to (km),Numbers of Accidents - 2016,Numbers of Accidents - 2017,Numbers of Accidents - 2018,Numbers of Accidents - Total of all three years,Numbers of Fatalities - 2016,Numbers of Fatalities - 2017,Numbers of Fatalities - 2018,Numbers of Fatalities - Total of all three years
Haryana,Fatehabad,Sadar ,9,Dariyapur,227.2,227.22,6,4,5,15,4,4,8,16
Haryana,Panipat,Chandni Bag,44,Siwah cut,84,84.5,4,6,14,24,3,5,5,13
Haryana,Faridabad,Sec-37,44,NHPC Metro Station,21.7,22.2,1,3,6,10,1,4,5,10
Himachal Pradesh,Mandi,BSL Colony Sundernagar,NH 21,Tail Control,Humsafar chowk 177/530,Tail Control 177/990,4,2,3,9,9,4,11,24
Himachal Pradesh,Mandi,BSL Colony Sundernagar,NH 21,Naresh Chowk,Tail Control 177/990,Naresh Chowk 178/255,1,7,3,11,1,12,4,17
Himachal Pradesh,Shimla,Theog,NH-5,Near Dogra Mod Sandhu,178.3,178.5,5,6,4,15,4,3,7,14
Himachal Pradesh,Shimla,Kumarsain,NH-5,Singhapur,252.9,253.26,2,4,1,7,3,6,2,11
Himachal Pradesh,Shimla,New Shimla,NH-5,Mist Chamber Crossing to Khalini Bifurcation ,146.2,146.7,2,2,3,7,6,2,3,11
Himachal Pradesh,Baddi,Baddi,NH/105,Kishanpura,24/600,25/100,10,5,NA,15,7,3,NA,10
Himachal Pradesh,Shimla,Kumarsain,NH-5,Reddi Khad,208.5,209,2,4,1,7,3,6,1,10
Himachal Pradesh,Kangra,Shahpur,NH 154,Sarnu near water kuhal ,63/735,63/885,2,4,2,8,2,5,2,9
Himachal Pradesh,Kangra,Indora,NH 44,Mohtali ramp,104/740,104/760,2,3,3,8,3,3,3,9
Himachal Pradesh,Baddi,Baddi,NH/105,Bhud,22/400,22/900,9,11,NA,20,3,6,NA,9
Manipur,Thoubal,Thoubal PS,NH 102,Thoubal Haokha area,Haokha area 1.5 km,Keyam Sephai 2 km,3,9,NA,12,1,2,NA,3
Manipur,Kakching,Kakching,NH 102,Kakching Khunuta Ching,"3kms, Kakching Lamkhai",3 kms and 500m. Sora Village,2,2,2,6,0,1,1,2
Manipur,Thoubal,Thoubal PS,NH 102,"Heirok Lamkhai, Wangjing",Wangjing Bazar-5 km,Uningkhong Wangjing -5.5 km,6,1,3,10,1,0,0,1
Manipur,Kakching,Kakching,NH 102,Heitroipokpi near power house,"4 kms and 500 m, Lengba Loukol","5 kms, Kuraopokpi",4,2,3,9,0,0,1,1
Manipur,Kakching,Kakching,NH 102,Kakching Lamkhai,"2 kms and 500 m, Irumphal, Kakching","3kms, Khunuta Chingjin",4,1,2,7,0,0,0,0
Megahalaya,Jowai traffic Branch, Jowai,NR,Wah Gate Chahtngit Jowai,0km,0.5km,0,9,2,11,0,2,0,2
Megahalaya,East Jaintia Hills,Khliehrait PS,NH,Byndihati,6km,6km,7,NA,NA,7,1,NA,NA,1
Megahalaya,Jowai traffic Branch, Jowai,NR,Mooralong NH44,0km,0.5km,5,4,5,14,0,0,0,0
Mizoram,AIZAWL,VAIVAKAWN,NH,RANGVAMUAL,2,7,3,3,4,10,4,3,5,12
Mizoram,AIZAWL,KULIKAWN,NH,WORLD BANK ROAD,2,7,1,2,2,5,1,2,2,5
Mizoram,KOLASIB,KOLASIB,NH-306,KHUANGPUILAM,1,2,0,2,1,3,0,2,1,3
Mizoram,KOLASIB,KOLASIB,NH-306,KHAMRANG,1,4,2,0,0,2,2,0,0,2
Mizoram,SERCHHIP,SERCHHIP,NH,RALKIAUVA KHAM,1,9,0,1,1,2,0,1,1,2
Madhya Pradesh,Shivpuri,Amola,NH 27,Naya Amola sirsos chouraha,02-May,3-0,6,11,7,24,6,8,9,23
Madhya Pradesh,Khargon,Maheswar,NH 3,Ganpati Ghat ganesh mandir ke pas A B Road Bakaner,50-1,50-21 ,4,5,8,17,3,13,7,23
Madhya Pradesh,Devash,O Chetra Devash,NH 3,Rasoolpur Chouraha,1-0,01-May,158,NA,NA,158,22,NA,NA,22
Madhya Pradesh,Sagar,Cant,NH 26,For line gadpahra tiraha,2-0,02-May,8,14,5,27,4,8,9,21
Madhya Pradesh,Dhar,Sector 1,NH 3,AB Road bhodiya talab ke samne tiraha,22-0, 22-2 ,6,4,13,23,7,3,9,19
Madhya Pradesh,Mandsore,Pipaliya Mandi,NH 79,Pipliya mandi choupati Highway Road,14-May,15,7,6,9,22,7,5,7,19
Madhya Pradesh,Shivpuri,Amola,NH 27,Amola Krasher,10,10-May,3,4,6,13,7,5,5,17
Madhya Pradesh,Dhar,Dhamnod,NH 3,Ganesh Ghat,8,12,82,NA,NA,82,17,NA,NA,17
Madhya Pradesh,Nimach,Jawad,NH 79,Kanka Fanta Highway,03-Jan,03-Feb,2,3,18,23,2,11,3,16
Madhya Pradesh,Bhind,dehat,NH 92,Daboha more,3-0  ,03-May,5,5,10,20,2,4,9,15
Nagaland,Kohima,South PS,NH/29,NST garage New Reserve Junction,184,184.5,10,5,5,20,2,0,0,2
Nagaland,Kohima,South PS,NH/29,City Church-ioc,182-5,183,17,9,14,40,0,0,1,1
Nagaland,Kohima,South PS,NH/29,"New reserve Junction, revival Church",184.5,185,5,0,7,12,1,NA,0,1
Nagaland,Kohima,North PS,NH/2,Kezieke to Tinpati,1,1.5,5,NA,NA,5,1,NA,NA,1
Nagaland,Kohima,South PS,NH/29,TCP gate-City Church,182,182.5,16,11,9,36,0,0,0,0
Nagaland,Kohima,South PS,NH/29,IOC-OLD NST,183,183-5,6,7,5,18,0,0,0,0
Nagaland,Kohima,South PS,NH/29,OLD INT NST garage,183.5,184,8,8,5,21,0,0,0,0
Nagaland,Kohima,Sechü Zubza PS,NH/29,Orphanage to AR Camp,177.5,178,2,NA,5,7,0,0,NA,0
Nagaland,Kiphire,Kiphire PS,NH-202,Kiphire Town,220,220.5,1,3,1,5,0,0,0,0
Nagaland,Kohima,Sechü Zubza PS,NH/29,Lalmati to Peducha Village,164,164.5,6,5,NA,11,0,0,NA,0
Rajasthan,Jaipur Gramin,Chaikankan,8,Padasoli ,339.75,339.95,13,14,9,36,7,15,4,26
Rajasthan,Jaipur Gramin,Chaikankan,8,Moukhampura,312.3,312.65,15,11,13,39,7,10,7,24
Rajasthan,Jaipur Gramin,Chaikankan,8,Mahlan,301.1,301.45,10,14,13,37,8,7,8,23
Rajasthan,Ajmer,Vyawar Sadar,8,Kharwa Chouraha,1,1,13,11,11,35,7,9,6,22
Rajasthan,Rajsamand         ,Bhim,8,Nandawat,1.5,2,9,15,12,36,7,12,2,21
Rajasthan,Jaipur Purva,Kanota,NH-11,Mali ki Kothi bagrana,369 KM ,369.10 KM,21,13,14,48,8,6,6,20
Rajasthan,Udaypur,Kherwad,8,Khandi Obari,345-60,346-10,6,7,3,16,6,11,3,20
Rajasthan,Jaipur Gramin,Bendakuramp,8,BELPUR,0,500 METER,5,12,4,21,5,12,2,19
Rajasthan,Bharatpur,Rupwas,NH NO123,Bokoli,1,1,5,3,11,19,5,3,11,19
Rajasthan,Bundi,Taleda,",u ,p 52",Bllop pulia ke pas,0.5,1,12,3,7,22,2,1,16,19
Tamilnadu,Chennai City,T1 Ambattur Traffic P S,NH 205,"C.T.H. Road Mannurpet, AMBT Tel Exchange",18,18.5,251,300,224,775,59,56,51,166
Tamilnadu,Chennai City,T15 SRMC Traffic P S,NH 48,"Tambaram - Puzhal Bypass Road,  Porur Toll gate Near",17,17.5,173,119,131,423,30,30,37,97
Tamilnadu,Chennai City,T12 Poonamallee Traffic P S,NH 44,"Bangalore-Chennai NH Rd, Nazarethpet junction",5,5.5,166,188,166,520,27,37,31,95
Tamilnadu,Cuddalore,Kadampuliyur  PS,NH 45 C ,Panikankuppam,30.4,30.9,113,86,86,285,16,11,14,41
Tamilnadu,Vellore,Ambur Taluk PS,NH 46 ,Minnur JN,32,32.5,11,9,18,38,11,9,18,38
Tamilnadu,Kanchipuram ,G1 MADHURANTHAGAM ,NH ,Karunkuzhi,4,4.5,32,30,20,82,12,12,12,36
Tamilnadu,Chennai City,T4 Maduravoyal Traffic P S,NH-45,P.H Road-Vembuli Amman koil junction,0.5,1,45,59,43,147,9,22,5,36
Tamilnadu,Vellore,Ambur Taluk PS,NH 46 ,Periyangkuppam JN,35,35.5,11,11,13,35,11,11,13,35
Tamilnadu,Viluppuram,Olakkur PS,NH 45,Saram BDO office,114+750,115+250,27,27,24,78,10,15,6,31
Tamilnadu,Cuddalore,Annamalai nagar ps,NH 45A,Vallampadugai,116.1,116.6,41,46,32,119,12,11,8,31
Uttrakhand,UKI,Dhrasu,NH 108,Nalupani,2,2.5,3,3,1,7,3,36,2,41
Uttrakhand,UDN,ITI,NH 74,Permanandpur,152,152.5,7,5,2,14,10,6,2,18
Uttrakhand,TWL,Chamba,NH 94,Kirgani,81,81.5,0,0,1,1,0,0,17,17
Uttrakhand,UKI,Purola,NH 507,Rikhau Khadd,62,62.5,0,0,1,1,0,0,15,15
Uttrakhand,UDN,Rudrapur,NH 74,Radha Swami Satsang,196,196.5,0,4,12,16,2,1,12,15
Uttrakhand,UDN,Kicha,NH 74,Lalpur,208,208.5,1,3,8,12,5,1,8,14
Uttrakhand,ALM,bhatroujkhan,NH 14,Kholyadhar,85,85.24,0,0,1,1,0,0,14,14
Uttrakhand,UDN,ITI,NH 74,Goutami Hight,149,149.5,4,2,4,10,7,2,4,13
Uttrakhand,NTL,Rannagar,NH 121,Kasba Pirumdara,235,235.3,7,6,4,17,2,7,4,13
Uttrakhand,UKI,Maneri,NH 109,helkugad,60,60.2,0,1,0,1,0,12,0,12
Delhi,NORTH WEST,"SP Badli, Swaroop Nagar",NH-1,LIBAS PUR BUS STAND,16.2,15.7,16,10,18,44,10,3,9,22
Delhi,NORTH WEST,Mahendra Park and SP Badli,NH-1,MUKARBA CHOWK,14.2,13.7,24,18,16,58,5,6,7,18
Delhi,NORTH WEST,Alipur,NH-1,SHANI MANDIR,22.2,21.7,17,9,3,29,10,8,0,18
Delhi,NORTH WEST,Adarsh Nagar,NH-1,AZAD PUR CHOWK,10.1,9.6,15,19,8,42,2,9,5,16
Delhi,WEST ,Punjabi Bagh,NH-10,PUNJABI BAGH CHOWK,8.7,8.2,18,12,20,50,6,5,5,16
Delhi,NORTH WEST,"SP Badli, Swaroop nagar",NH-1,SIRASPUR,17.5,17,9,13,11,33,2,8,6,16
Delhi,SOUTH,Vasant Kunj South and North,NH-8,MAHIPALPUR FLYOVER,18.3,17.8,19,18,12,49,2,6,7,15
Delhi,WEST,Punjabi Bagh,NH-10,METRO STATION MADIPUR,12.1,11.6,12,21,15,48,4,6,5,15
Delhi,NORTH WEST,Alipur,NH-1,SINGHU BORDER,29,28.5,7,8,8,23,2,5,8,15
Delhi,WEST,Mianwali Nagar,NH-10,PEERA GARHI CHOWK,14.7,14.2,17,14,20,51,3,5,6,14
West Bengal,Hooghly Rural,Singur,NH-2,Ratanpur Bridge,632.07,632.42,14,4,4,22,11,2,4,17
West Bengal,Howrah Rural,Uluberia,NH-6,Birshibpur,54.46,54.7,7,4,3,14,7,7,3,17
West Bengal,Paschim Medinipur,Kharagpur (Local),NH-6,Basantapur,117.25,117.5,5,7,5,17,3,9,5,17
West Bengal,Uttar Dinajpur,Islampur,NH-31,Ramganj,516.8,517,4,10,2,16,4,11,2,17
West Bengal,Asansol-Durgapur PC,Kanksa,NH-2,Rajbandh,508.37,508.6,4,14,7,25,2,11,3,16
West Bengal,Birbhum,Md. Bazar,NH-60,Seharakuri Bus Stand,349.1,349.3,6,8,4,18,7,7,2,16
West Bengal,Asansol-Durgapur PC,Kanksa,NH-2,Birudiha Bus Stand,512.95,513,6,9,2,17,6,5,4,15
West Bengal,Howrah PC,Liluah,NH-6,Chamrial Petrol Pump,20.2,20.5,7,8,4,19,4,7,4,15
West Bengal,Howrah Rural,Domjur,NH-6,Nibra,26.1,26.5,7,8,7,22,5,5,5,15
West Bengal,Howrah Rural,Sankrail,NH-6,Alampur,31.5,31.65,9,6,2,17,9,4,2,15
Assam,CITY GUWAHATI,Gorchuk,NH-37,"Garchuk to NP School, Lalunggaon",NA,NA,59,65,69,193,32,35,37,104
Assam,CITY GUWAHATI,Gorchuk,NH-37,Boragaon to Garchuk,NA,NA,59,55,49,163,28,27,26,81
Assam,CITY GUWAHATI,Sonapur,NH-37,Patarkuchi to Naziraghat,NA,NA,49,50,34,133,18,22,22,62
Assam,CITY GUWAHATI,Jalukbari OP,NH-37,Padumbori to Tetelia,NA,NA,40,40,46,126,15,18,21,54
Assam,CITY GUWAHATI,Sonapur,NH-37,Baligate to Kapalkata to Samata,NA,NA,59,56,42,157,30,26,20,76
Assam,CITY GUWAHATI,Basistha,NH-37,Beharbari Chariali to Lalmati,NA,NA,70,67,49,186,22,25,17,64
Assam,CITY GUWAHATI,Azara,NH-37,Azara PHC to Dharapur Petrol Pump,NA,NA,39,40,39,118,7,9,15,31
Assam,CITY GUWAHATI,Jorabat,NH-37,8th Mile to 9th Mile,NA,NA,31,31,24,86,7,10,11,28
Assam,CITY GUWAHATI,Basistha,NH-37,Basistha Chariali (Gurdwara Cutting) to Kinara,NA,NA,42,43,44,129,12,12,11,35
Orrisha,Cuttack,Tangi PS,NH- 16,Manguli chhak to hanuman petrol pump,31.8,32.3,3,7,4,14,4,9,5,18
Orrisha,Jajpur,Dharmasala,NH- 16,Near Naulapur,63.5,64,7,8,8,23,7,5,5,17
Orrisha,Jagatsinghpur,Paradip PS,  NH- 53,Dochhaki paradip,72.95,73.45,5,1,2,8,6,9,1,16
Orrisha,Mayurabhanj,Bangriposi,NH-49,Dwarasuni Temple to Dwarsuni Ghati,230,230.5,8,4,5,17,9,4,2,15
Orrisha,Mayurabhanj,Kuliana,NH-18,Kuchei toPower Grid Chaak,23.5,24,8,4,5,17,9,4,2,15
Orrisha,Jajpur,Badachana PS,NH- 16,Bandala chhak,51.3,51.8,9,12,6,27,5,3,7,15
Orrisha,UPD bhubaneaswar,Khandgiri,NH-16,Iginia chhak,410.25,410.75,6,6,12,24,5,6,4,15
Orrisha,Sambalpur,Dhanupali PS,NH-53,Near bhatra,562,562.5,7,21,8,36,2,8,5,15
Orrisha,Bhadrak,Bhadrak Rural,NH- 16,Trisalpur chhak (Rahanja),125.1,125.6,9,5,14,28,4,3,7,14
Orrisha,Khordha,Sahid    Nagar PS,NH- 16,Jaydev Vihar,417.75,418.25,7,7,12,26,3,6,5,14
Bihar,Naugachia,Naugachia,NH 31,Near Zero Mile,NA,NA,14,12,0,26,22,19,0,41
Bihar,Gaya,Magadh Medical,NH 83,Cant Area,98,98.4,6,0,10,16,8,0,15,23
Bihar,Gaya,Barachatti,NH 02,Kahubag,1036.7,1037.3,4,7,1,12,8,8,6,22
Bihar,Gaya,Sherghati,NH 02,Gopalpur,1010.8,1011.2,6,2,3,11,11,7,3,21
Bihar,Naugachia,Naugachia,NH 31,Near Bus Stand,NA,NA,12,0,0,12,18,0,0,18
Bihar,Gaya,Dobhi,NH 83,Bajaura,121.8,122.2,7,1,0,8,16,1,0,17
Bihar,Muzaffarpur,Ahiapur,NH 77,Bhikhanpura,NA,NA,5,4,2,11,10,4,2,16
Bihar,Aurangabad,Madanpur,NH 02,Shivganj,974,974.7,6,3,5,14,8,1,6,15
Bihar,Samastipur,Ujiyarpur,NH 28,Satanpur,581,581.6,11,0,4,15,10,0,5,15
Bihar,Patna ,NA,NH 30,New bypass Karmali chak 70feet to west 500mtr.,NA,NA,13,10,7,30,7,4,3,14
Uttar Pradesh,Unnao,AJGAIN,NH-25,PURVA MOD,70,70.4,17,21,25,73,22,20,27,69
Uttar Pradesh,Mirzapur,KOTWALI DEHAT,NH-7,KARANPUR PAHADEE,9,9.5,0,40,34,74,0,40,15,55
Uttar Pradesh,Mirzapur,KOTWALI KATRA,NH-7,SABARI TIRAHA,4,4.4,0,13,26,39,0,12,38,50
Uttar Pradesh,BULANDSHAHR,PS-SIKANDRABAD,NH-91,GT ROAD CUT,16,16.3,12,14,10,36,16,15,18,49
Uttar Pradesh,BULANDSHAHR,PS-SIKANDRABAD,NH-91,SUNEHRA T POINT,15,15.4,9,8,9,26,14,13,15,42
Uttar Pradesh,BULANDSHAHR,KOTWALI DEHAT,NH-91,MAMAN CHUNGI,4,4.5,10,11,6,27,13,15,7,35
Uttar Pradesh,Unnao,AJGAIN,NH-25,NAVABGANJ,52,52.4,10,11,9,30,11,13,10,34
Uttar Pradesh,MUJAFFARNAGR,CHHAPAR,NH-58,RAMPUR TIRAHA CUT,129.2,129.7,5,6,9,20,9,12,12,33
Uttar Pradesh,Muradabad,GUNNAUR,NH-509,KALI MA,159,159.2,8,8,13,29,11,9,12,32
Uttar Pradesh,Sambhal,GUNNAUR,NH-509,KALI MA,159,159.2,8,8,13,29,11,9,12,32
Punjab,Rupnagar,Sadar Rupnagar, NH 205,Malakpur T-point,5,5.5,20,24,12,56,20,24,10,54
Punjab,SAS Nagar,Zirakpur,NH- 05,Gurdwara Nabha sahib Chd road,4,4.5,17,12,8,37,17,16,13,46
Punjab,COP/ Ludhiana ,PS Div No 7,NH-01,Tajpur Cut Samrala Chowk  Vardhman Chowk   Grewal Petrol Pump,1,1,9,6,5,20,11,16,4,31
Punjab,SAS Nagar,Zirakpur,NH-152,T-Point Pind Singhpura Chd to Ambala Road,3,3.5,8,9,6,23,9,11,9,29
Punjab,Ludhiana,Sahnewal,NH 44,Sahnewal Bridge,301.7542,302.2542,7,10,6,23,8,10,4,22
Punjab,Pathankot,PS Shahpur Kandi,NH-01,Pangoli Chowk ,500,1000,6,7,5,18,6,7,5,18
Punjab,Ludhiana,Sahnewal,NH 44,Eastman caste and forge Ltd,304.40238,304.90238,7,5,2,14,10,5,2,17
Punjab,Ludhiana,Sahnewal,NH 44,Dhandari Flyover,307.44942,307.94942,3,6,10,19,3,5,8,16
Punjab,Ludhiana,Div No.3 + Jodhewal,NH 44,"Tibba cut, near Tajpur chowk",315.44201,315.94201,8,7,3,18,6,7,3,16
Punjab,Ludhiana,Sahnewal,NH 44,Dhandari Kalan bus stop,309.15025,309.65025,7,8,2,17,6,7,1,14
