States/UTs,Over-Speeding - Number of Accidents - Number,Over-Speeding - Number of Accidents - Rank,Over-Speeding - Persons Killed - Number,Over-Speeding - Persons Killed - Rank,Over-Speeding - Persons Injured - Greviously Injured,Over-Speeding - Persons Injured - Minor Injury,Over-Speeding - Persons Injured - Total Injured,Drunken Driving/ Consumption of alcohol and drug  - Number of Accidents,Drunken Driving/ Consumption of alcohol and drug  - Persons Killed,Drunken Driving/ Consumption of alcohol and drug  - Persons Injured - Greviously Injured,Drunken Driving/ Consumption of alcohol and drug  - Persons Injured - Minor Injury,Drunken Driving/ Consumption of alcohol and drug  - Persons Injured - Total Injured,Driving on Wrong side - Number of Accidents,Driving on Wrong side - Persons Killed,Driving on Wrong side - Persons Injured - Greviously Injured,Driving on Wrong side - Persons Injured - Minor Injury,Driving on Wrong side - Persons Injured - Total Injured,Jumping Red Light - Number of Accidents,Jumping Red Light - Persons Killed,Jumping Red Light - Persons Injured - Greviously Injured,Jumping Red Light - Persons Injured - Minor Injury,Jumping Red Light - Persons Injured - Total Injured,Use of Mobile Phone - Number of Accidents,Use of Mobile Phone - Persons Killed,Use of Mobile Phone - Persons Injured - Greviously Injured,Use of Mobile Phone - Persons Injured - Minor Injury,Use of Mobile Phone - Persons Injured - Total Injured,Others - Number of Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured
Andhra Pradesh,15382,9,5530,9,4806,12038,16844,127,43,48,96,144,509,155,277,361,638,37,22,11,13,24,96,29,26,108,134,5841,2205,1122,5713,6835
Arunachal Pradesh,76,31,41,30,50,39,89,46,27,34,36,70,57,28,42,35,77,0,0,0,0,0,43,23,36,31,67,15,8,4,2,6
Assam,6322,14,2426,15,5225,800,6025,279,74,273,33,306,929,363,528,97,625,136,29,110,18,128,99,40,69,30,99,585,276,249,41,290
Bihar,5130,16,3815,11,3684,163,3847,0,0,0,0,0,1465,1034,1029,57,1086,0,0,0,0,0,182,149,125,5,130,3230,2207,2034,109,2143
Chhattisgarh,12139,11,4440,10,2131,9501,11632,134,34,51,61,112,760,197,287,499,786,22,2,4,14,18,24,9,5,5,10,820,321,73,459,532
Goa,2979,19,233,23,211,1017,1228,6,1,0,0,0,100,19,37,85,122,0,0,0,0,0,0,0,0,0,0,355,44,17,81,98
Gujarat,14464,10,6343,8,7894,5504,13398,47,17,18,16,34,607,225,412,300,712,8,4,2,2,4,122,40,64,54,118,1798,761,1117,875,1992
Haryana,7224,13,3640,13,1604,4345,5949,299,132,115,165,280,959,418,512,510,1022,257,142,261,136,397,539,243,332,86,418,1666,482,75,1221,1296
Himachal Pradesh,1932,21,673,21,818,2085,2903,75,24,31,75,106,715,341,397,1134,1531,0,0,0,0,0,18,3,11,16,27,133,105,75,262,337
Jammu and Kashmir,5699,15,980,18,4093,3308,7401,25,5,44,0,44,72,11,87,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,3035,18,2195,16,1586,393,1979,686,578,305,77,382,343,234,201,78,279,74,33,78,29,107,128,80,86,21,107,951,681,748,216,964
Karnataka,33012,3,9140,2,20992,17422,38414,132,37,62,104,166,1131,248,765,755,1520,59,7,33,27,60,31,2,15,35,50,6293,1524,5088,5149,10237
Kerala,29281,4,2928,14,23559,9775,33334,104,20,46,57,103,1449,131,1120,671,1791,70,5,51,35,86,27,0,26,2,28,10180,1356,7768,2945,10713
Madhya Pradesh,40066,2,9341,1,5947,36095,42042,1030,241,152,887,1039,2814,555,606,2346,2952,113,12,11,107,118,896,181,63,909,972,5750,919,532,5161,5693
Maharashtra,20045,6,8175,6,11947,5365,17312,258,53,128,152,280,553,154,388,183,571,48,4,35,11,46,100,13,67,33,100,11921,4389,6587,3732,10319
Manipur,378,26,97,27,146,451,597,81,12,15,131,146,23,7,1,32,33,8,0,0,15,15,37,2,4,62,66,145,38,118,80,198
Meghalaya,172,28,61,28,49,33,82,23,4,4,11,15,26,13,5,7,12,11,7,2,1,3,19,10,3,5,8,231,84,54,48,102
Mizoram,32,35,27,32,4,27,31,17,12,4,6,10,5,5,1,1,2,0,0,0,0,0,0,0,0,0,0,8,4,2,11,13
Nagaland,131,29,12,34,44,69,113,132,7,32,57,89,82,7,14,23,37,0,0,0,0,0,13,0,0,7,7,0,0,0,0,0
Orissa,7632,12,3808,12,4364,3367,7731,1068,507,620,378,998,1040,445,581,654,1235,97,32,58,42,100,492,205,339,222,561,735,336,353,199,552
Punjab,1211,22,905,19,598,231,829,1290,889,694,365,1059,1455,987,637,347,984,1079,846,587,159,746,1296,881,139,55,194,17,17,0,0,0
Rajasthan,19889,7,9050,3,5438,13343,18781,262,83,75,238,313,1130,478,339,800,1139,32,13,21,14,35,158,63,54,163,217,2009,876,774,1720,2494
Sikkim,77,30,32,31,57,40,97,19,7,8,11,19,19,3,9,52,61,0,0,0,0,0,0,0,0,0,0,47,31,60,81,141
Tamil Nadu,46878,1,8832,4,3136,52279,55415,1047,157,221,1025,1246,2325,402,273,2364,2637,1068,226,292,762,1054,1047,165,188,1045,1233,4863,743,766,4786,5552
Telangana,20669,5,6739,7,2584,18737,21321,246,68,9,206,215,119,23,5,135,140,32,2,0,19,19,7,1,0,6,6,497,131,280,18,298
Tripura,588,25,209,24,729,6,735,19,3,27,2,29,28,15,36,1,37,0,0,0,0,0,0,0,0,0,0,20,12,15,0,15
Uttarakhand,983,23,591,22,737,195,932,25,17,18,6,24,102,52,90,17,107,0,0,0,0,0,51,50,92,6,98,191,157,259,37,296
Uttar Pradesh,15934,8,8398,5,6613,3694,10307,4496,2224,1979,1091,3070,4988,2517,2240,1366,3606,874,297,388,292,680,4882,2699,2179,1126,3305,11398,6520,5104,2860,7964
West Bengal,3862,17,2050,17,3341,562,3903,8,3,6,0,6,114,44,137,21,158,18,10,15,0,15,14,4,10,3,13,6142,3389,4876,786,5662
Andaman and Nicobar Islands,40,34,3,35,17,21,38,41,1,12,24,36,6,0,6,2,8,0,0,0,0,0,0,0,0,0,0,143,16,39,86,125
Chandigarh,282,27,99,26,17,242,259,8,0,0,8,8,3,1,0,2,2,12,4,0,6,6,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,67,32,49,29,90,15,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,61,33,27,32,42,24,66,4,0,2,2,4,2,1,1,0,1,0,0,0,0,0,2,0,3,0,3,0,0,0,0,0
Delhi,2448,20,713,20,287,1806,2093,215,45,29,173,202,369,69,42,417,459,371,100,51,269,320,199,53,15,158,173,2008,483,354,1551,1905
Lakshadweep,0,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Puducherry,908,24,121,25,336,682,1018,6,0,3,6,9,132,19,60,111,171,17,0,10,15,25,0,0,0,0,0,329,7,215,181,396
Total,319028,NA,101723,NA,123176,203674,326850,12256,5325,5065,5499,10564,24431,9201,11165,13463,24628,4443,1797,2020,1986,4006,10522,4945,3951,4193,8144,78322,28122,38759,38410,77169
