State/UTs,Urban ,Rural,Total
Andhra Pradesh,2161,5228,7389
Arunachal Pradesh,57,51,108
Assam,1561,1458,3019
Bihar,2615,4116,6731
Chhattisgarh,959,3644,4603
Goa,58,225,283
Gujarat,2130,4596,6726
Haryana,1453,3231,4684
Himachal Pradesh,109,821,930
Jammu and Kashmir,214,548,762
Jharkhand,1336,2078,3414
Karnataka,2855,7205,10060
Kerala,1174,3009,4183
Madhya Pradesh,2897,7285,10182
Maharashtra,3409,8378,11787
Manipur,38,108,146
Meghalaya,65,104,169
Mizoram,27,19,46
Nagaland,17,7,24
Orissa,1181,3663,4844
Punjab,1596,2594,4190
Rajasthan,2231,7240,9471
Sikkim,18,43,61
Tamil Nadu,3570,6243,9813
Telangana,2742,3730,6472
Tripura,86,138,224
Uttarakhand,284,466,750
Uttar Pradesh,8454,11277,19731
West Bengal,1198,3922,5120
Andaman and Nicobar Islands,7,13,20
Chandigarh,94,6,100
Dadra and Nagar Haveli,8,40,48
Daman and Diu,6,17,23
Delhi,1341,92,1433
Lakshadweep,0,0,0
Puducherry,61,82,143
Total ,46012,91677,137689
