States/UTs,2018,2019,Reduction(+)/Increase(-) ,Percentage Share in total reduction
Andhra Pradesh,7556,7984,-428,-140.8
Arunachal Pradesh,175,127,48,15.8
Assam,2966,3208,-242,-79.6
Bihar,6729,7205,-476,-156.6
Chhattisgarh,4592,5003,-411,-135.2
Goa,262,297,-35,-11.5
Gujarat,7996,7390,606,199.3
Haryana,5118,5057,61,20.1
Himachal Pradesh,1208,1146,62,20.4
Jammu and Kashmir,984,996,-12,-3.9
Jharkhand,3542,3801,-259,-85.2
Karnataka,10990,10958,32,10.5
Kerala,4303,4440,-137,-45.1
Madhya Pradesh,10706,11249,-543,-178.6
Maharashtra,13261,12788,473,155.6
Manipur,134,156,-22,-7.2
Meghalaya,182,179,3,1.0
Mizoram,45,48,-3,-1.0
Nagaland,39,26,13,4.3
Odisha,5315,5333,-18,-5.9
Punjab,4740,4525,215,70.7
Rajasthan,10320,10563,-243,-79.9
Sikkim,85,73,12,3.9
Tamil Nadu,12216,10525,1691,556.3
Telangana,6603,6964,-361,-118.8
Tripura,213,239,-26,-8.6
Uttarakhand,1047,867,180,59.2
Uttar Pradesh,22256,22655,-399,-131.3
West Bengal,5711,5500,211,69.4
Andaman and Nicobar Islands,19,20,-1,-0.3
Chandigarh,98,104,-6,-2.0
Dadra and Nagar Haveli,54,49,5,1.6
Daman and Diu,35,28,7,2.3
Delhi,1690,1463,227,74.7
Lakshadweep,1,0,1,0.3
Puducherry,226,147,79,26.0
Total ,151417,151113,304,100
