Million Plus Cities,2017-18 - Total Transport Vehicles,2017-18 - Total Non-Transport Vehicles,2017-18 - Total Registered Motor Vehicle,2018-19 - Total Transport Vehicles,2018-19 - Total Non-Transport Vehicles,2018-19 - Total Registered Motor Vehicle
Agra,40717,971214,1011931,47092,1070975,1118067
Ahmedabad,398711,3733014,4131725,411783,3853490,4265273
Allahabad ,66705,1079387,1146092,77712,1186180,1263892
Allapppuzha,27042,183200,210242,27042,183200,210242
Aurangabad ,50827,509282,560109,47383,468098,515481
Bengaluru,721981,6684221,7406202,801021,7253009,8054030
Bhopal,66411,1189373,1255784,66411,1189373,1255784
Chandigarh ,25118,925608,950726,26428,986620,1013048
Chennai,518602,5122917,5641519,544453,5452171,5996624
Coimbatore,97562,2066384,2163946,102642,2175172,2277814
Delhi,523482,10162897,10686379,585573,10805978,11391551
Dhanbad,66456,584602,651058,66456,584602,651058
Durg Bhilai,43865,866192,910057,46626,911032,957658
Faridabad,1658875,6074127,7733002,1859240,6740428,8599668
Ghaziabad ,59218,947975,1007193,67782,1040499,1108281
Greater Mumbai,364294,2953590,3317884,321050,2731851,3052901
Gwalior  ,0,0,0,0,0,0
Hyderabad,225413,2489097,2714510,225413,2489097,2714510
Indore,140099,1794489,1934588,140099,1794489,1934588
Jabalpur ,0,0,0,0,0,0
Jaipur,224498,2548575,2773073,241120,2733795,2974915
Jamshedpur,19431,246302,265733,19431,246302,265733
Jodhpur,116074,998909,1114983,123112,1067515,1190627
Kannur,34189,248664,282853,36100,277676,313776
Kanpur,55939,1690070,1746009,69449,1788272,1857721
Kochi ,95665,792844,888509,96621,837420,934041
Kolkata,103205,696987,800192,103205,696987,800192
Kollam ,35202,274910,310112,36430,319835,356265
Kota,48779,763469,812248,42201,134811,177012
Kozhikoda ,69518,342515,412033,72729,393471,466200
Lucknow ,66536,2106420,2172956,80316,2260585,2340901
Madurai,77594,1017231,1094825,80125,1080524,1160649
Malappuram,65467,308221,373688,66239,379052,445291
Meerut ,40790,676795,717585,46110,753255,799365
Nagpur,85627,1533385,1619012,79568,1447209,1526777
Nashik,36733,700252,736985,37022,670896,707918
Palakkad,33925,233289,267214,33925,233289,267214
Patna,147468,1290094,1437562,159415,1418751,1578166
Pune,184062,2770365,2954427,164560,2552762,2717322
Raipur,118173,1315806,1433979,125271,1406367,1531638
Rajkot,136374,1930470,2066844,142396,2021465,2163861
Ranchi,95107,670069,765176,95107,670069,765176
Srinagar,57005,258742,315747,58634,278766,337400
Surat,220214,2948795,3169009,230071,3148122,3378193
Trichy,59052,796577,855629,60869,818272,879141
Thiruvananthapuram,88743,724169,812912,88743,724169,812912
Thrissur,0,0,0,0,0,0
Varanasi ,74876,910309,985185,81149,976914,1058063
Vijayawada ,100146,680729,780875,111862,739096,850958
Vadodara,190722,1988669,2179391,201534,2113159,2314693
Visakhapatnam ,6014,57917,63931,88831,876005,964836
TOTAL ,7782506,79859118,87641624,8336351,83981075,92317426
