Million Plus Cities,Total Transport Vehicles,Total Non-Transport Vehicles,Total Registered Motor Vehicle (Transport + Non Transport)
Agra,54261,1171793,1226054
Ahmedabad,450099,4121094,4571193
Aurangabad ,133713,1307563,1441276
Bengaluru,1141712,8496650,9638362
Bhopal,83161,1490978,1574139
Chandigarh ,28707,1030150,1058857
Chennai,570304,5781425,6351729
Coimbatore,106703,2271201,2377904
Delhi,621219,11271658,11892877
Dhanbad,60880,595666,656546
Durg Bhilai,48620,954070,1002690
Faridabad,1859240,6740428,8599668
Ghaziabad ,78583,1130922,1209505
Greater Mumbai,446659,3429506,3876165
Gwalior  ,53791,830310,884101
Hyderabad,250988,2991821,3242809
Indore,170904,2260753,2431657
Jabalpur,57466,1030231,1087697
Jaipur,252443,2915900,3168343
Jamshedpur,68604,724115,792719
Jodhpur,125138,1142482,1267620
Kalyan Dombivali,68010,600525,668535
Kannur,37796,294634,332430
Kanpur,91576,1490688,1582264
Kochi ,99459,857102,956561
Kolkata,124868,899209,1024077
Kollam ,36090,345629,381719
Kota,50944,847796,898740
Kozhikoda ,74635,420914,495549
Lucknow ,123599,2494231,2617830
Madurai,82647,1137762,1220409
Malappuram,67724,409060,476784
Meerut ,58185,825862,884047
Nagpur,100763,1680739,1781502
Nashik,5063,834427,839490
Patna,176625,1538689,1715314
Pimprichichwad,167764,1867119,2034883
Prayagraj,100152,1406125,1506277
Pune,223639,2975190,3198829
Raipur,131304,1500710,1632014
Rajkot,150600,2108104,2258704
Ranchi,354530,1706584,2061114
Salem,92785,1544572,1637357
Srinagar,58634,278766,337400
Surat,233403,3328855,3562258
Trichy,62278,836611,898889
Thane,410858,1832494,2243352
Thiruvananthapuram,101301,871222,972523
Thrissur,49889,377215,427104
Varanasi ,101268,1064535,1165803
Vasai,29826,206782,236608
Vashi N.Mumbai,103393,380279,483672
Vijayawada ,122503,786348,908851
Vadodara,213277,2226832,2440109
Visakhapatnam ,94261,927575,1021836
Total,10662844,102591901,113254745
